record_id,dataset_type,name,category,description,address,latitude,longitude,source_dataset
seat-1771633,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Bellair Street Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Bellair Street Reserve,"Bellair Street Reserve, approximately 17m NE of 256-258 Bellair Street, KENSINGTON VIC 3031",-37.7961247,144.9309183,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771636,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - North Melbourne Community Centre (Open Space),Seat,Seat - Straight Seat - Wooden Battens - Type 2 - North Melbourne Community Centre (Open Space),"North Melbourne Community Centre, approximately 45m East of 77-81 Boundary Road, NORTH MELBOURNE VIC 3051",-37.7923602,144.9398313,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771638,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - North Melbourne Community Centre (Open Space),Seat,Seat - Straight Seat - Wooden Battens - Type 2 - North Melbourne Community Centre (Open Space),"North Melbourne Community Centre, approximately 56m West of Family Services, Part 49-53 Buncle Street, NORTH MELBOURNE VIC 3051",-37.792954,144.9398982,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771639,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Newmarket Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Newmarket Reserve,"Newmarket Reserve, approximately 31m North of Unit 18, Ground 600 Epsom Road, FLEMINGTON VIC 3031",-37.7886363,144.9225831,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771647,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Kensington Hall Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Kensington Hall Reserve,"Kensington Hall Reserve, approximately 19m East of 22 Maloney Street, KENSINGTON VIC 3031",-37.7888761,144.9283697,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771648,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Princes Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Princes Park,"Princes Park, approximately 84m West of Princes Hill Tennis Club Inc, Princes Hill Tennis Club, Princes Park, 121 Princes Park Drive, CARLTON NORTH VIC 3054",-37.7860561,144.962032,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771652,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Royal Park,-37.7775688,144.9523042,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771654,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,"Royal Park, approximately 81m NE of Brens Pavilion, Royal Park, 40 MacArthur Road, PARKVILLE VIC 3052",-37.7861457,144.9557643,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771662,public_seat,Seat - Older Style Park Seat - Timber Slats - Queen Victoria Gardens,Seat,Seat - Older Style Park Seat - Timber Slats - Queen Victoria Gardens,"Queen Victoria Gardens, approximately 82m SE of Queen Victoria Gardens, 99-199 St Kilda Road, MELBOURNE VIC 3004",-37.8222918,144.9718553,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1771967,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Neill Street Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Neill Street Reserve,"Neill Street Reserve, approximately 38m North of Substation 430 Drummond Street, CARLTON VIC 3053",-37.7952065,144.9693952,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1775775,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Boyd Community Hub,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Boyd Community Hub,"Boyd Community Hub, approximately 50m SE of Southbank Library at Boyd, Part Ground 207 City Road, SOUTHBANK VIC 3006",-37.8256368,144.9614707,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1775779,public_seat,Seat - Unclassified - Boyd Community Hub,Seat,Seat - Unclassified - Boyd Community Hub,"Boyd Community Hub, approximately 44m SE of Southbank Library at Boyd, Part Ground 207 City Road, SOUTHBANK VIC 3006",-37.8256869,144.9612555,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1775786,public_seat,Seat - Unclassified - Boyd Community Hub,Seat,Seat - Unclassified - Boyd Community Hub,"Boyd Community Hub, approximately 43m SE of City Road Park, 135 Queens Bridge Street, SOUTHBANK VIC 3006",-37.8257161,144.9606274,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1775788,public_seat,Seat - Unclassified - Boyd Community Hub,Seat,Seat - Unclassified - Boyd Community Hub,"Boyd Community Hub, approximately 41m SE of Southbank Library at Boyd, Part Ground 207 City Road, SOUTHBANK VIC 3006",-37.8256288,144.9613157,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1775789,public_seat,Seat - Unclassified - Boyd Community Hub,Seat,Seat - Unclassified - Boyd Community Hub,"Boyd Community Hub, approximately 43m SE of Southbank Library at Boyd, Part Ground 207 City Road, SOUTHBANK VIC 3006",-37.8256012,144.9614117,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1775797,public_seat,Seat - Wooden Battens Round Seat - Boyd Community Hub,Seat,Seat - Wooden Battens Round Seat - Boyd Community Hub,"Kavanagh Street between Balston Street and Kings Way, approximately 24m NW of 121-125 Kavanagh Street, SOUTHBANK VIC 3006",-37.8261265,144.9617851,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1775798,public_seat,Seat - Timber Bench - Boyd Community Hub,Seat,Seat - Timber Bench - Boyd Community Hub,"Boyd Community Hub, approximately 48m SE of City Road Park, 135 Queens Bridge Street, SOUTHBANK VIC 3006",-37.8257224,144.9607012,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
